hfpxzc hre,Latitude,Longitude,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,EgL07d src,R8c4Qb
https://www.google.com/maps/place/Nanpura+Police+Station/data=!4m7!3m6!1s0x3be04e7b2f8a7b8b:0x32a6f50b5f8142bc!8m2!3d21.1902242!4d72.8153718!16s%2Fg%2F1hdz1smwl!19sChIJi3uKL3tO4DsRvEKBXwv1pjI?authuser=0&hl=en&rclk=1,21.190109899999999,72.813936900000002,Nanpura Police Station,3.200000000000000,"-24",Police station,·,"5RR8+34Q, Chowki St, beside the circle",Open 24 hours,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Athwaline+Police+Chowki/data=!4m7!3m6!1s0x3be04e77d599b863:0xef35baf901ded8bb!8m2!3d21.1864908!4d72.810207!16s%2Fg%2F1q5glv5k3!19sChIJY7iZ1XdO4DsRu9jeAfm6Ne8?authuser=0&hl=en&rclk=1,21.186490800000001,72.810207000000005,Athwaline Police Chowki,4.000000000000000,"-4",Police station,·,"Jolly Plaza, Athwa Gate Cir, Opp. to Nawdi Bandar Rd",0261 265 6665,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Sagrampura+Police+Chowki/data=!4m7!3m6!1s0x3be04e67ca66acb7:0x2fddaeeea65fd2f0!8m2!3d21.1891353!4d72.8251685!16s%2Fg%2F1pzvfqzxr!19sChIJt6xmymdO4DsR8NJfpu6u3S8?authuser=0&hl=en&rclk=1,21.183323300000001,72.823527799999994,Sagrampura Police Chowki,4.500000000000000,"-10",Police station,·,5RQG+M33,,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Athwalines+Police+Station/data=!4m7!3m6!1s0x3be04e63ac33181d:0x764d38651fa544d5!8m2!3d21.1955315!4d72.8196!16s%2Fg%2F11g6wxcq24!19sChIJHRgzrGNO4DsR1USlH2U4TXY?authuser=0&hl=en&rclk=1,21.195531500000001,72.819599999999994,Athwalines Police Station,1.000000000000000,"-3",Traffic police station,·,"5RW9+6R9, Swamy Dayananad Sagar Marg",,Open,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Ghod+Dod+Police+Chowki/data=!4m7!3m6!1s0x3be04e74a132daa9:0x989f2487d470375c!8m2!3d21.1757282!4d72.8099491!16s%2Fg%2F11bxg1m3x2!19sChIJqdoyoXRO4DsRXDdw1Ickn5g?authuser=0&hl=en&rclk=1,21.175728199999998,72.809949099999997,Ghod Dod Police Chowki,4.100000000000000,"-9",Police station,·,"5RG5+7XW, Ghod Dod Rd",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Athwa+Police+Station/data=!4m7!3m6!1s0x3be04e61f0021d63:0x141c9c862fe4df5f!8m2!3d21.1983001!4d72.8227415!16s%2Fg%2F1jgm2msmc!19sChIJYx0C8GFO4DsRX9_kL4acHBQ?authuser=0&hl=en&rclk=1,21.198300100000001,72.822741500000006,Athwa Police Station,4.300000000000000,"-7",Police department,·,5RXF+83H,0261 246 3827,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Chowpatti+Police+Chowki/data=!4m7!3m6!1s0x3be04e77b9acfa5b:0xeab6eef1e61f220b!8m2!3d21.1835848!4d72.8071994!16s%2Fg%2F1hm2msqz0!19sChIJW_qsuXdO4DsRCyIf5vHutuo?authuser=0&hl=en&rclk=1,21.183584799999998,72.807199400000002,Chowpatti Police Chowki,3.400000000000000,"-5",Police department,·,"D-1, Surat - Dumas Rd",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Athwa+traffic+Police+Station/data=!4m7!3m6!1s0x3be04e7a020f204b:0x9477d600781c1158!8m2!3d21.186621!4d72.8102172!16s%2Fg%2F1q5bl_gfn!19sChIJSyAPAnpO4DsRWBEceADWd5Q?authuser=0&hl=en&rclk=1,21.186620999999999,72.810217199999997,Athwa traffic Police Station,4.500000000000000,"-8",Traffic police station,·,"5RP6+J3W, Ring Road, Navdi Bandar Rd",0261 246 3380,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Lal+Gate+Police+Station/data=!4m7!3m6!1s0x3be04e61d20f0eaf:0x36117c3f78b93944!8m2!3d21.1985533!4d72.8246449!16s%2Fg%2F11bw2gmxnr!19sChIJrw4P0mFO4DsRRDm5eD98ETY?authuser=0&hl=en&rclk=1,21.198553300000000,72.824644899999996,Lal Gate Police Station,4.500000000000000,"-2",Police station,·,"134, Chowk Bazar Rd",0261 240 2200,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Mahidharpura+Police+Station/data=!4m7!3m6!1s0x3be04e5f3341b01f:0x7b93223174895290!8m2!3d21.198337!4d72.833811!16s%2Fg%2F1tcznty6!19sChIJH7BBM19O4DsRkFKJdDEik3s?authuser=0&hl=en&rclk=1,21.199824300000000,72.841368099999997,Mahidharpura Police Station,3.800000000000000,"-36",Police station,·,"5RXM+8GM, Tower Rd",,Open 24 hours,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
